,name,brewery,category,description,region,food_pairing,serving_temp_c
11,Berkshire Brewing Company Green Gown DIPA,Berkshire Brewing Company,Beer,"A high gravity New England style IPA featuring Citra, Simcoe, Centennial and Experimental 431 hop varieties. This quarterly release is the shade of a hazy sunset, and is the perfect pairing for any season in New England. The alcohol is substantial enough to warm you in the winter, the aromatics welcome spring with bright floral and fruit, in summer the hop flavors of citrus and melon are reminiscent of fruit salad, and in fall the malt backbone and bready accents complement the cool autumn breezes. Coming in at 8.5% ABV, this beer drinks deviously smooth while provoking the olfactory with a tropical bouquet of blood orange flesh, grapefruit rind and melon. 2 row pale malt and German pilsner malt create a canvas for the hops to shine while providing enough body for a great drinking experience.",Massachusetts,"Spicy Thai curry, Grilled steak, Dark chocolate.",7.2-10.0° C
12,Berkshire Brewing Tiger Lily Double IPA,Berkshire Brewing Company,Beer,"Tiger Lily Double IPA features a blend of flavors like apricot, tangerine, peaches and candied banana, finishing clean and slightly dry.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled steak, Sharp cheddar cheese",7.2-10.0° C
13,Berkshire Spontaneous Creation: Alpha Imperial IPA,Berkshire Brewing Company,Beer,"Pungent citrus and tropical stone fruit dominate this Double IPA brewed with oats and wheat and dry hopped with Zamba, Citra & Mosaic hops. We hope you like it!","South Deerfield, Massachusetts","Spicy Thai curry, Grilled steak, Sharp cheddar cheese",7.2-10.0° C
14,Berkshire BLDG8 The Hazy NEIPA,Berkshire Brewing Company,Beer,"Dry hopped with Mosaic, Citra and Simcoe, our Hazy is based on the first batch of our Oooh Shiny! with notes of orange peel, lime, blueberry and papaya on the nose.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken, Citrus salad",7.2-10.0° C
15,Berkshire Brewing Company Easy Like Mosaic NEIPA,Berkshire Brewing Company,Beer,"What is New England / Hazy IPA?

New England / Hazy IPA is a style of beer that has become increasingly popular in recent years. The New England / Hazy IPA (India Pale Ale, for the long version) is characterized by a hazy, slightly opaque appearance and a smooth, creamy mouthfeel. There's a number of beers in this category that are lovingly called juice bombs, because they flavor feels like the perfect combination of orange juice and beer. Thank us later. The flavor is a complex balance of hop bitterness and hop aromas of tropical and citrus fruits, with a hint of malt sweetness. The malt in this beer variety provides a light body and smooth finish that is complemented by light bitterness that doesn't overly linger. You'll find that many, if not most NEIPAs have a higher ABV than other IPA varietals, usually between 5.5% - 7.5% ABV.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken, Citrus salad",7.2-10.0° C
16,Berkshire Dandy Lion Haze NEIPA,Berkshire Brewing Company,Beer,"Copiously dry hopped with Galaxy & Citra hops, Dandy Lion Haze produces massive citrus aroma with flavor spanning navel orange, passion fruit, candied mango & pineapple. This hazy New England has a medium body with a soft mouth feel & finishes sweet with a hint of citrus rind.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken, Citrus salad",7.2-10.0° C
17,Berkshire Easy Like Citra NEIPA,Berkshire Brewing Company,Beer,"Everybody likes easy, so we made this NEIPA easy to like with Citra, Amarillo and Simcoe hops, a medium body and fermented it with a German style ale yeast. This double dry-hopped brew has a hazy straw color and a clean finish to make Easy Like a session-able NEIPA, easy for you to enjoy any time.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken, Citrus salad",7.2-10.0° C
18,Berkshire Weave Got Hops NEIPA,Berkshire Brewing Company,Beer,"Featuring Nelson Sauvin hops, bring notes of light grape, citrus and candied tropical fruit with a juicy fruit finish.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken tacos, Sharp cheddar cheese",7.2-10.0° C
19,Easy Like Mosaic NEIPA,Berkshire Brewing Company,Beer,"A single hop variation of our popular Easy Like New England Style IPA, created by replacing all of the Citra hops with Mosaic. Hazy and juicy with the bright complexity of mosaic, this beer has notes of mango, grapefruit and pineapple with a clean finish.","South Deerfield, Massachusetts","Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",7.2-10.0° C
20,Berkshire Session IPA,Berkshire Brewing Company,Beer,"Our second offering in the Brewer's Choice Series IPA is a Session IPA. Coming in at 4% ABV, it's the perfect beer for this year's long-awaited summer. With its light body and citrus hop finish this IPA is sure to refresh. Enjoy while spending the day in your backyard, watching your favorite ballgame, or wherever the day may take you.",Massachusetts,"Spicy Thai curry, Grilled chicken, Citrus salad",7.2-10.0° C
21,Berkshire Brewing Turkey Trotter Rotator Brown Ale,Berkshire Brewing Company,Beer,,Massachusetts,"Turkey, Roasted Vegetables, Chocolate Cake",7.2-10.0° C
22,Berkshire Shea Theater's Rebellion,Berkshire Brewing Company,Beer,,Massachusetts,"Spicy BBQ Ribs, Sharp Cheddar Cheese, Chocolate Desserts",7.2-10.0° C
23,Berkshire Brewing Company Dandy Lion Haze NEIPA,Berkshire Brewing Company,Beer,,"South Deerfield, Massachusetts","Spicy Thai food, Grilled chicken, Citrus salad",7.2-10.0° C
